CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,113,63,308,174,2,1,213,208,352,133,272,223,337,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,114,64,308,174,3,1,221,228,347,133,270,231,334,195,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,115,64,308,174,3,1,228,254,337,187,267,244,337,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,116,62,308,174,3,2,228,267,352,174,267,249,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,117,64,308,174,3,2,226,270,352,174,267,249,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,118,63,308,174,3,2,218,259,352,174,267,239,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,119,63,308,174,3,2,249,228,352,174,272,226,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,120,63,308,174,2,2,246,190,362,195,280,213,350,208,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,121,62,308,174,2,1,231,164,350,166,282,210,339,200,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,122,63,308,174,2,1,254,179,352,141,282,210,344,156,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,123,63,308,174,2,1,241,192,350,171,277,215,350,174,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,124,62,308,174,2,2,249,210,375,171,272,226,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,125,60,308,174,3,2,251,231,386,169,267,236,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,126,61,308,174,3,2,251,223,396,182,272,226,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,127,62,308,174,2,3,259,205,406,208,280,213,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,128,64,308,174,2,3,262,177,414,218,282,208,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,129,64,308,174,1,3,267,153,417,226,285,195,365,231,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,130,62,308,174,2,3,267,182,419,221,282,208,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,131,60,308,174,2,3,270,208,422,218,277,215,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,132,61,308,174,3,3,254,226,419,215,272,226,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,133,63,308,174,3,3,251,228,417,202,270,231,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,134,64,308,174,2,2,251,197,375,190,277,215,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,135,64,308,174,2,2,254,174,368,151,282,210,342,202,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,136,62,308,174,2,1,244,153,357,151,282,208,337,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
